@relation news_kmeans2_efa_k9-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute Factor1 numeric
@attribute Factor2 numeric
@attribute Factor3 numeric
@attribute Factor4 numeric
@attribute Factor5 numeric
@attribute Factor6 numeric
@attribute Factor7 numeric
@attribute Factor8 numeric
@attribute Factor9 numeric
@attribute efa_kmeans_k9 {0,1,2,3,4,5,6,7,8}

@data
-0.005597,-0.209299,-0.004357,-0.035953,-0.022519,-0.009386,0.000654,-0.007163,0.00504,1
0.05502,0.063754,0.00089,-0.048515,0.03123,-0.006015,0.011208,-0.002295,-0.004024,1
0.044112,0.022545,0.003424,-0.029268,0.981644,0.003361,0.005162,0.00042,0.000428,5
0.061698,0.036378,0.002942,-0.034424,0.952771,0.005263,0.005788,0.000181,0.001248,5
-0.047644,-0.002771,0.000232,0.027965,-0.039034,0.003492,0.004361,-0.000579,0.013304,1
-0.05835,-0.070237,-0.000892,0.055456,-0.023868,0.016794,-0.012831,-0.00106,0.003628,1
-0.181069,-0.050736,0.000115,0.101627,-0.040877,-0.017007,-0.005462,-0.005709,0.003444,1
-0.073363,-0.011928,0.00394,0.056962,0.011363,0.050388,-0.003598,0.002319,0.00707,1
-0.019082,0.009039,-0.00042,0.127457,0.605696,0.030668,0.001739,-0.003263,0.006169,5
-0.112316,0.001291,-0.001816,0.15045,0.437563,0.061106,-0.004333,-0.003796,0.007859,5
0.030446,0.050291,-0.000106,0.814673,0.033745,0.003065,-0.001333,-0.008501,0.004487,2
0.041343,0.05248,-0.000927,0.848026,0.065897,0.001772,0.000839,-0.003639,0.004298,2
0.040582,0.059428,0.000846,0.993219,0.057824,-0.002565,0.001204,-0.006014,0.005067,2
-0.000382,-0.021346,-0.000927,0.003078,0.009916,-0.11904,0.053173,0.072606,-0.647239,1
-0.017034,0.02405,0.009288,-0.000039,0.001178,-0.193326,-0.894743,0.236506,0.316532,1
-0.037336,0.020902,-0.000194,0.001489,-0.000419,-0.287385,0.631677,0.51891,0.492258,8
-0.014655,0.029149,-0.000859,-0.008745,0.001058,-0.162339,0.133182,-0.939303,0.259806,6
-0.000689,-0.033207,-0.000546,0.0084,0.000088,-0.108532,0.048179,0.065685,-0.587073,1
0.049064,-0.014618,-0.005492,-0.004492,-0.010158,0.653077,0.026584,0.036493,0.062407,4
0.060908,-0.022279,-0.005316,-0.000783,-0.00787,0.692345,0.028204,0.038604,0.067102,4
0.080823,-0.027187,-0.007918,-0.003797,-0.013171,0.986844,0.040186,0.055081,0.09501,4
0.075047,0.147753,-0.001296,-0.004126,-0.003123,-0.031985,0.010132,-0.009014,0.004354,1
0.011295,-0.02985,-0.001755,-0.016123,-0.004779,0.012637,0.003794,0.002234,-0.015691,1
0.014067,-0.198867,-0.005542,-0.037465,-0.023391,-0.015131,-0.00103,-0.003197,0.008362,1
-0.171363,-0.063473,-0.006196,0.057229,0.039612,0.042058,-0.003287,-0.00246,-0.006388,1
0.084732,0.147173,-0.003102,-0.005871,-0.01109,-0.008816,-0.007697,0.012122,0.006309,1
0.681009,0.08649,-0.004048,0.040106,-0.017786,-0.033195,0.006102,0.002696,0.001507,3
0.238934,0.761694,0.000053,-0.047794,-0.018013,0.024366,0.005021,0.01033,-0.017509,3
0.416129,0.480553,-0.001212,-0.034325,-0.01776,0.014094,0.003087,0.008935,-0.004449,3
0.270273,-0.73038,-0.003105,0.053193,0.009456,-0.031037,-0.002242,-0.014716,0.018578,0
0.625449,0.766505,-0.002497,-0.042958,-0.04313,-0.032883,0.003581,0.015794,-0.012446,3
0.310291,-0.94383,-0.004324,0.062495,0.001324,-0.054472,0.000397,-0.017199,0.027046,0
0.617219,0.050796,-0.003953,0.017391,-0.016337,-0.021156,0.010373,0.004632,-0.001258,3
0.235207,-0.123527,0.003683,0.016501,-0.001937,-0.032803,0.004306,-0.005389,0.000893,1
0.560017,0.14397,-0.008503,-0.007392,-0.015288,-0.003255,0.002954,0.0078,-0.002093,3
-0.368007,0.246183,0.003564,-0.054789,0.00147,0.01118,-0.00387,-0.000013,-0.006586,1
-0.328435,0.372191,0.008416,-0.038562,0.00073,-0.000972,-0.003148,0.004035,-0.016602,1
-0.200891,-0.095495,-0.003099,-0.030854,0.008485,0.016637,-0.00081,-0.000783,0.003925,1
-0.020948,-0.00453,-0.005156,0.010674,0.019328,0.026877,-0.002114,-0.007398,0.002606,1
0.000342,0.194412,-0.002074,-0.010762,0.006087,0.039036,-0.008017,-0.000322,-0.002988,1
0.013368,-0.036481,-0.008827,-0.000117,0.001277,-0.037959,-0.004967,0.000581,0.00266,1
-0.0157,0.020115,-0.004562,0.005793,0.018757,0.039528,-0.003852,-0.001089,0.002557,1
-0.01538,0.002568,0.000645,0.057012,0.035601,0.019626,0.003697,0.004402,-0.007124,1
